model,engine,km,price,on_sale_since,greenlight,dealer_name,on_sale_since_v2,URL
Audi A3,1.4 Petrol,33796.14,"€19,899",4 hour,no,One Stop Motors ChurchtownIndependent Dealer,2024-06-11,https://www.donedeal.ie/cars-for-sale/2016-audi-a3-1-4tsi-auto-sline-spec-21-000mls-wow/36885511
Audi A3,1.4 TFSI,48000.0,"€16,495",8 hour,no,Byrne Motor CompanyIndependent Dealer,2024-06-11,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-auto-2015/36969937
Audi A3,1.4 Petrol,65000.0,"€17,250",10 hour,no,VP MOTORSIndependent Dealer,2024-06-11,https://www.donedeal.ie/cars-for-sale/s-line-spec-full-leather-1-owner-automatic-/37176749
Audi A3,1.4 Tfsi,24873.96,"€17,950",20 hour,no,Kylemore CarsIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/audi-a3-very-low-mileage-1-4-tfsi-saloon/37174510
Audi A3,1.4 Tfsi,64925.6,"€16,950",22 hour,no,Kylemore CarsIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-saloon/37174477
Audi A3,1.4 TFSI,41469.47,"€18,950",1 day,no,Listowel Auto's LtdIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/162-audi-a3-saloon-1-4-tfsi-automatic-low-mileage/35924585
Audi A3,1.4 Petrol,35762.75,"€18,950",1 day,no,Listowel Auto's LtdIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/162-audi-a3-saloon-1-4-tfsi-automatic/36865332
Audi A3,1.4 Automatic,64333.0,"€18,949",1 day,yes,Apex MotorsIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/audi-a3-finance-arranged-1-4-automatic-dsg-imma/36399551
Audi A3,1.4 Petrol,35000.0,"€24,750",1 day,no,VP MOTORSIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/exceptional-example-1-owner-s-line-plus-edition-/37169908
Audi A3,1.4 Tfsi,54608.12,"€20,950",2 day,no,Bill Griffin MotorsIndependent Dealer,2024-06-09,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-auto-full-service-hist/37160604
Audi A3,1.4 Petrol,95916.66,"€15,999",3 day,no,Cieran McConnon Car SalesIndependent Dealer,2024-06-08,https://www.donedeal.ie/cars-for-sale/2015-audi-a3-saloon-1-4l-dsg/37156494
Audi A3,1.4 Tfsi,83005.0,"€16,450",4 day,no,East Coast CarsFranchise Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-saloon-sports-edition-cruise-con/37153530
Audi A3,1.4 Automatic,62559.87,"€18,950",4 day,no,Kylemore CarsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-automatic-exciting-tfsi-s-tronic-lu/37003717
Audi A3,1.4 Petrol,80713.0,"€16,950",4 day,no,Evra MotorsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-petrol-automatic-low-miles-/36679212
Audi A3,1.4 Petrol,32711.0,"€16,950",4 day,no,Evra MotorsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-petrol-automatic-only-20-326/37092903
Audi A3,1.4 Petrol,60495.0,"€19,950",4 day,no,Evra MotorsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-petrol-automatic-high-spec-/36904349
Audi A3,1.4 Petrol,56326.9,"€20,950",4 day,yes,Curragha MotorsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-150-tfsi-s-tronic-ultra-attractio-2017/36830870
Audi A3,1.4 Petrol,90123.04,"€15,995",4 day,no,Quality MotorsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/2015-audi-a3-saloon-s11/36713167
Audi A3,1.4 Petrol,33796.14,"€17,950",5 day,no,Optimum AutosIndependent Dealer,2024-06-06,https://www.donedeal.ie/cars-for-sale/2016-audi-a3-tfsi-highline-dsg/36197781
Audi A3,1.4 Petrol,7000.0,"€21,500",5 day,no,Optimum AutosIndependent Dealer,2024-06-06,https://www.donedeal.ie/cars-for-sale/2016-audi-a3-saloon-auto-car-is-like-brand-new/35836771
Audi A3,1.4 Petrol,17059.0,"€21,750",5 day,no,Optimum AutosIndependent Dealer,2024-06-06,https://www.donedeal.ie/cars-for-sale/2017-audi-a3-s-line-sport-extra-low-miles-1-4/35635427
Audi A3,1.4 Tfsi,73042.0,"€16,750",5 day,no,East Coast CarsFranchise Dealer,2024-06-06,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-saloon-sport-edition-parking-sen/37146073
Audi A3,1.4 Petrol,65536.0,"€18,449",5 day,yes,Apex MotorsIndependent Dealer,2024-06-06,https://www.donedeal.ie/cars-for-sale/audi-a3-finance-arranged-automatic-dsg-immacula/35905509
Audi A3,1.4 S,37240.0,"€24,950",5 day,no,Michael Barrable MotorsIndependent Dealer,2024-06-06,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-s-line-automatic-petrol/37140787
Audi A3,1.4 Petrol,97949.0,"€16,500",6 day,no,Castle MotorsIndependent Dealer,2024-06-05,https://www.donedeal.ie/cars-for-sale/audi-a3-mint-low-mileage/35346605
Audi A3,1.4 Tfsi,47278.0,"€23,750",6 day,no,East Coast CarsFranchise Dealer,2024-06-05,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-saloon-face-lift-smartphone-int/35527922
Audi A3,1.4 Petrol,64763.0,"€16,750",6 day,no,Elite AutosIndependent Dealer,2024-06-05,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-tfsi-s-tronic-2015/36797952
Audi A3,1.5 Petrol,96215.0,"€24,950",7 day,yes,Tom Murphy Car Sales LtdFranchise Dealer,2024-06-04,https://www.donedeal.ie/cars-for-sale/audi-a3-35-tfsi-150hp-s-tronic-se/35468184
Audi A3,1.4 TFSI,69201.62,"€16,950",8 day,no,Curragha MotorsIndependent Dealer,2024-06-03,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-tronic-saloon/36802662
Audi A3,1.4 Petrol,50942.05,"€16,450",10 day,yes,Premium MotorsIndependent Dealer,2024-06-01,https://www.donedeal.ie/cars-for-sale/audi-a3-low-millage-automatic/36796396
Audi A3,1.4 Tfsi,12958.41,"€23,950",10 day,no,Kylemore CarsIndependent Dealer,2024-06-01,https://www.donedeal.ie/cars-for-sale/audi-a3-low-mileage-1-4-tfsi-automatic-saloon-r/37105616
Audi A3,1.4 S,30577.46,"€23,950",11 day,yes,Curragha MotorsIndependent Dealer,2024-05-31,https://www.donedeal.ie/cars-for-sale/audi-a3-tfsi-1-4-s-tronic-auto/36794080
Audi A3,1.4 Petrol,90250.18,"€15,950",12 day,no,Kylemore CarsIndependent Dealer,2024-05-30,https://www.donedeal.ie/cars-for-sale/audi-a3-luxury-s-tronic-saloon-w-parking-aid/36070901
Audi A3,1.4 Petrol,49768.84,"€20,950",13 day,no,Kylemore CarsIndependent Dealer,2024-05-29,https://www.donedeal.ie/cars-for-sale/audi-a3-low-mileage-upgraded-specialised-black/37084343
Audi A3,1.4 Automatic,6548.4,"€19,950",13 day,no,Kylemore CarsIndependent Dealer,2024-05-29,https://www.donedeal.ie/cars-for-sale/audi-a3-very-low-mileage-1-4-automatic-tfsi-rev/37084341
Audi A3,1.4 Petrol,67000.0,"€17,500",17 day,no,S B AutosIndependent Dealer,2024-05-25,https://www.donedeal.ie/cars-for-sale/152-audi-a3-saloon-with-67-000-kms/36705176
Audi A3,1.4 Petrol,0.0,"€23,900",17 day,no,Mount Merrion CarsIndependent Dealer,2024-05-25,https://www.donedeal.ie/cars-for-sale/audi-a3-reserved/37056347
Audi A3,1.4 Tfsi,67000.0,"€18,950",18 day,no,Automatic Motor Car CentreIndependent Dealer,2024-05-24,https://www.donedeal.ie/cars-for-sale/audi-a3-audi-a3-automatic-saloon-1-4-tfsi-67k-k/36635868
Audi A3,1.4 Tfsi,45462.25,"€21,950",18 day,no,Airside Motor CentreIndependent Dealer,2024-05-24,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-automatic-saloon/37047375
Audi A3,1.4 Tfsi,55436.93,"€24,900",19 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-23,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-sport-auto-full-sport-spec-/36565848
Audi A3,1.4 Tfsi,69159.78,"€17,900",22 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-20,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-pack-auto-18-s-line-al/37017207
Audi A3,1.4 Tfsi,51746.72,"€18,900",22 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-20,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-pack-auto-full-service/37016851
Audi A3,1.4 Tfsi,80008.34,"€22,900",27 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-auto-new-nct-full-service/36824065
Audi A3,1.4 Tfsi,40286.61,"€18,900",27 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-auto-new-nct-cruise-contro/36755404
Audi A3,1.4 Tfsi,96932.16,"€23,900",27 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-auto-s-line-heated-sea/36755403
Audi A3,1.4 Petrol,74642.0,"€18,495",27 day,no,Donal McArdle Car SalesIndependent Dealer,2024-05-15,https://www.donedeal.ie/cars-for-sale/2016-audi-a3/36986894
Audi A3,1.4 Tfsi,67537.56,"€22,900",28 day,no,Bill Griffin MotorsIndependent Dealer,2024-05-14,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-line-auto-half-leather-s-li/36973571
Audi A3,1.4 Saloon,19653.0,"€24,750",30 day,yes,Great Island MotorsIndependent Dealer,2024-05-12,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-saloon-petrol-automatic/36408099
Audi A3,1.4 Petrol,88792.0,"€17,750",40 day,no,Denis Darcy Cars Volkswagen SpecialistIndependent Dealer,2024-05-02,https://www.donedeal.ie/cars-for-sale/audi-a3-151-1-4tfsi-saloon-upgraded-18-alloys/36832941
Audi A3,1.4 Petrol,93124.0,"€23,950",40 day,no,Denis Darcy Cars Volkswagen SpecialistIndependent Dealer,2024-05-02,https://www.donedeal.ie/cars-for-sale/audi-a3-171-s-line-1-4tsi-virtual-dash-s-tronic/36740029
Audi A3,1.4 Tsi,23001.0,"€18,950",48 day,no,Ken Lawford Motors LimitedIndependent Dealer,2024-04-24,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tsi-auto-saloon/36825099
Audi A3,1.4 Tfsi,92000.0,"€21,750",53 day,no,Grange Road MotorsIndependent Dealer,2024-04-19,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-se-auto-saloon-leather-trim-sat/34986633
Audi A3,1.4 Petrol,48962.56,"€19,950",4 day,no,Kylemore CarsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-low-mileage-luxury-s-tronic-saloon-w-re/36685881?campaign=3
Audi A3,1.4 Petrol,83264.0,"€15,950",55 day,no,Ace AutosIndependent Dealer,2024-04-17,https://www.donedeal.ie/cars-for-sale/audi-a3-sport-1-4-petrol-auto-12m-warranty/36772576
Audi A3,1.4 Tfsi,58002.22,"€16,995",58 day,no,AutoxpressIndependent Dealer,2024-04-14,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36748032
Audi A3,1.4 Petrol,89000.0,"€16,450",66 day,yes,Grange Castle Motor CompanyIndependent Dealer,2024-04-06,https://www.donedeal.ie/cars-for-sale/audi-a3-2015-1-4-4dr-auto-low-kms/36688516
Audi A3,1.4 Tfsi,94001.55,"€16,995",76 day,no,AutoxpressIndependent Dealer,2024-03-27,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36611636
Audi A3,1.4 Tfsi,67001.65,"€18,495",98 day,no,AutoxpressIndependent Dealer,2024-03-05,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36446744
Audi A3,1.4 Tfsi,96001.96,"€16,995",101 day,no,AutoxpressIndependent Dealer,2024-03-02,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36424359
Audi A3,1.4 Tfsi,55000.8,"€17,250",101 day,no,AutoxpressIndependent Dealer,2024-03-02,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36424358
Audi A3,1.4 Tfsi,65001.24,"€16,995",103 day,no,AutoxpressIndependent Dealer,2024-02-29,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-1-4-tfsi-automatic-/36408393
Audi A3,1.4 Petrol,58068.0,"€16,350",109 day,no,Mount Merrion CarsIndependent Dealer,2024-02-23,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-auto-1-4tfsi/36364379
Audi A3,1.4 Petrol,74100.0,"€16,900",124 day,no,Mount Merrion CarsIndependent Dealer,2024-02-08,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-auto-1-4tsi/36244008
Audi A3,1.4 Petrol,46278.0,"€24,900",151 day,no,Mount Merrion CarsIndependent Dealer,2024-01-12,https://www.donedeal.ie/cars-for-sale/audi-a3-facelift-auto-sport-spec/36033538
Audi A3,1.4 Tfsi,65133.0,"€17,950",161 day,no,Max Miller AutosIndependent Dealer,2024-01-02,https://www.donedeal.ie/cars-for-sale/audi-a3-1-4-tfsi-s-tronic-sport-reversing-camera/35747183
Audi A3,1.4 Automatic,49358.46,"€18,950",4 day,no,Kylemore CarsIndependent Dealer,2024-06-07,https://www.donedeal.ie/cars-for-sale/audi-a3-low-mileage-1-4-automatic-reverse-camer/37003719?campaign=3
Audi A3,1.4 Petrol,64303.0,"€16,995",1 day,no,Elite AutosIndependent Dealer,2024-06-10,https://www.donedeal.ie/cars-for-sale/audi-a3-saloon-tfsi-stronic-2015-big-spec/37074017?campaign=3
Audi A3,1.4 Petrol,49889.54,"€17,899",2 day,no,One Stop Motors ChurchtownIndependent Dealer,2024-06-09,https://www.donedeal.ie/cars-for-sale/reserved/37140633?campaign=3
